Model,R2,Adj_R2,RMSE,MAE,MAPE_pct,Max_Error,Latency_ms,Fit_Time_ms
XGBoost Regressor,0.9649545051741932,0.9648136187628332,6.8684644999205835,4.658296978046821,8.160652997159108,45.54454503895431,0.9036792006809264,169.17899996042252
SVR (RBF Kernel),0.9596968851721884,0.9595348626000163,7.3656803145246394,4.53386258874008,7.975734190196443,110.40086990227292,0.48920519812963903,595.3313999343663
Random Forest,0.958686301396958,0.9585202161764432,7.457454257152777,5.0425122972190435,9.64564669750409,67.99388445022996,34.16497839707881,204.0852999780327
Ridge Regression,0.8250601610534769,0.8243568853190185,15.34574300845015,10.596398028952265,28.79924103522537,133.50182330875225,0.09813300031237304,1.4015000779181719
Linear Regression,0.8249874679928981,0.8242839000250304,15.348930999168816,10.608977085753239,28.899364061934783,133.3036013372095,0.10097540146671236,1.171399955637753
