Model,R2,Adj_R2,RMSE,MAE,MAPE_pct,Max_Error,Latency_ms,Fit_Time_ms
XGBoost Regressor,0.9479340532209591,0.9477247428821489,7.176510725110092,4.4165693209503525,10.457104041417207,85.96763617064147,0.567793796537444,103.6420000018552
Random Forest,0.9446325155534843,0.9444099327014379,7.400547480806209,4.784481649275389,12.438282219351805,85.11163786440878,34.952868800610304,215.17509990371764
SVR (RBF Kernel),0.9314883201575945,0.931212896319032,8.232253989733222,4.417869413814624,10.033878523876547,147.7630616191141,0.3913035993464291,780.6428000330925
Ridge Regression,0.7671833746438124,0.7662474284112247,15.175515342726138,9.855683390335665,40.354916203285924,194.72165922785103,0.10798880131915212,1.5442000003531575
Linear Regression,0.7670548424520275,0.766118379507111,15.179703774519751,9.868628358583083,40.493166635988686,194.5546580993577,0.1824759989976883,1.460299943573773
